Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Position,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,CMP,ATT,YDS,Y/A,TD,SACKS,ATT.1,YDS.1,TD.1,FL,20+,TGT,REC,Y/R
22.0,Tua Tagovailoa (MIA),,13.0,,,,,,11.0,143.6,13.1,20.9%,QB,,,68.3,,,,,,,,,213.0,312.0,"2,123",6.8,17.0,21.0,14.0,38.0,0.0,1.0,,,,
23.0,Justin Fields (NYJ),,1.0,,,,,,9.0,143.6,16.0,26.5%,QB,,,62.7,,,,,,,,,128.0,204.0,"1,259",6.2,7.0,27.0,71.0,383.0,4.0,3.0,,,,
24.0,Mac Jones (SF),,6.0,,,,,,9.0,136.3,15.1,3.7%,QB,,,69.6,,,,,,,,,201.0,289.0,"2,151",7.4,13.0,16.0,31.0,61.0,0.0,2.0,,,,
25.0,Jacoby Brissett (ARI),,3.0,,,,,,8.0,128.5,16.1,37.6%,QB,,,66.8,,,,,,,,,175.0,262.0,"1,887",7.2,11.0,24.0,24.0,100.0,1.0,3.0,,,,
26.0,C.J. Stroud (HOU),,5.0,,,,,,8.0,126.1,15.8,54.7%,QB,,,66.5,,,,,,,,,161.0,242.0,"1,702",7.0,11.0,17.0,29.0,189.0,0.0,0.0,,,,
27.0,Michael Penix Jr. (ATL),,3.0,,,,,,9.0,123.2,13.7,9.4%,QB,,,60.1,,,,,,,,,166.0,276.0,"1,982",7.2,9.0,13.0,21.0,70.0,1.0,2.0,,,,
28.0,Cam Ward (TEN),,6.0,,,,,,11.0,116.1,10.6,9.8%,QB,,,59.4,,,,,,,,,222.0,374.0,"2,210",5.9,7.0,45.0,27.0,116.0,1.0,6.0,,,,
29.0,Jayden Daniels (WAS),,2.0,,,,,,6.0,113.4,18.9,67.5%,QB,,,62.5,,,,,,,,,105.0,168.0,"1,184",7.0,8.0,17.0,54.0,262.0,2.0,2.0,,,,
30.0,Spencer Rattler (NO),,5.0,,,,,,8.0,103.1,12.9,1.9%,QB,,,68.0,,,,,,,,,174.0,256.0,"1,586",6.2,8.0,18.0,31.0,167.0,0.0,2.0,,,,
31.0,Marcus Mariota (WAS),,5.0,,,,,,8.0,90.8,11.4,12.7%,QB,,,65.7,,,,,,,,,92.0,140.0,"1,065",7.6,7.0,10.0,27.0,193.0,1.0,1.0,,,,
32.0,Kyler Murray (ARI),,3.0,,,,,,5.0,80.8,16.2,51.8%,QB,,,68.3,,,,,,,,,110.0,161.0,962,6.0,6.0,16.0,29.0,173.0,1.0,1.0,,,,
33.0,Carson Wentz (MIN),,5.0,,,,,,5.0,75.3,15.1,1.1%,QB,,,65.1,,,,,,,,,110.0,169.0,"1,216",7.2,6.0,19.0,11.0,57.0,0.0,0.0,,,,
34.0,J.J. McCarthy (MIN),,10.0,,,,,,6.0,75.1,12.5,28.6%,QB,,,54.1,,,,,,,,,86.0,159.0,929,5.8,6.0,20.0,23.0,120.0,2.0,1.0,,,,
35.0,Dillon Gabriel (CLE),,2.0,,,,,,8.0,72.0,9.0,2.2%,QB,,,59.2,,,,,,,,,109.0,184.0,937,5.1,7.0,18.0,14.0,86.0,0.0,0.0,,,,
36.0,Brock Purdy (SF),,7.0,,,,,,4.0,68.1,17.0,81.0%,QB,,,68.7,,,,,,,,,90.0,131.0,979,7.5,8.0,3.0,14.0,39.0,0.0,1.0,,,,
37.0,Davis Mills (HOU),,1.0,,,,,,5.0,67.0,13.4,4.5%,QB,,,58.7,,,,,,,,,88.0,150.0,879,5.9,5.0,8.0,12.0,48.0,1.0,0.0,,,,
38.0,Jake Browning (CIN),,8.0,,,,,,5.0,56.7,11.3,0.9%,QB,,,64.8,,,,,,,,,81.0,125.0,771,6.2,6.0,9.0,9.0,39.0,1.0,0.0,,,,
39.0,Russell Wilson (NYG),,3.0,,,,,,6.0,52.8,8.8,1.8%,QB,,,58.0,,,,,,,,,69.0,119.0,831,7.0,3.0,10.0,18.0,106.0,0.0,0.0,,,,
