"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"89","Trevor Etienne (CAR)","20","94","4.7","22","1","0","2","2","9","4.5","0","1","12","8.3","0.7","1.2%"
"90","Austin Ekeler (WAS)","14","43","3.1","6","0","0","7","5","38","7.6","0","0","3","8.1","2.7","32.6%"
"91","Jaret Patterson (LAC)","21","75","3.6","9","0","0","0","0","0","0","0","0","3","7.5","2.5","0.7%"
"92","Jaleel McLaughlin (DEN)","7","19","2.7","5","0","1","2","1","-5","-5.0","0","0","2","7.4","3.7","2.7%"
"93","Will Shipley (PHI)","11","45","4.1","20","1","0","6","4","28","7.0","0","0","9","7.3","0.8","2.6%"
"94","Cam Akers (SEA)","5","19","3.8","14","0","0","1","0","0","0","0","0","2","7.2","3.6","0.7%"
"95","Jaydon Blue (DAL)","22","65","3.0","14","0","0","1","1","5","5.0","0","0","4","7.0","1.8","7.4%"
"96","Kaleb Johnson (PIT)","22","58","2.6","9","0","0","2","1","9","9.0","0","0","7","6.7","1.0","15.5%"
"97","DJ Giddens (IND)","18","66","3.7","12","0","0","2","0","0","0","0","0","7","6.6","0.9","1.8%"
"98","Raheim Sanders (CLE)","3","3","1.0","2","0","1","0","0","0","0","0","0","2","6.3","3.2","1.0%"
"99","Kene Nwangwu (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","6","6.0","1.0","0.0%"
"100","A.J. Dillon (PHI)","12","60","5.0","11","0","0","2","2","18","9.0","0","1","6","5.8","1.0","1.3%"
"101","Jaylen Wright (MIA)","15","49","3.3","18","0","0","1","1","0","0.0","0","0","5","4.9","1.0","2.5%"
"102","Adam Prentice (DEN)","4","17","4.3","8","0","0","5","3","31","10.3","0","0","11","4.8","0.4","0.0%"
"103","Alec Ingold (MIA)","2","9","4.5","6","0","0","7","5","36","7.2","0","0","11","4.5","0.4","0.6%"
"104","Zamir White (LV)","10","25","2.5","9","0","0","5","3","19","6.3","0","0","3","4.4","1.5","0.9%"
"105","Hassan Haskins (LAC)","12","30","2.5","10","0","0","4","4","13","3.3","0","0","9","4.3","0.5","1.8%"
"106","Nathan Carter (ATL)","9","60","6.7","12","0","0","0","0","0","0","0","1","3","4.0","1.3","0.0%"
"107","Julius Chestnut (TEN)","10","39","3.9","27","1","0","2","0","0","0","0","0","11","3.9","0.4","1.1%"
"108","Rasheen Ali (BAL)","5","22","4.4","9","0","0","1","1","15","15.0","0","0","10","3.7","0.4","0.6%"
"109","Dare Ogunbowale (HOU)","3","18","6.0","9","0","0","6","5","36","7.2","0","1","11","3.4","0.3","0.6%"
"110","Tahj Brooks (CIN)","9","28","3.1","7","0","0","1","0","0","0","0","0","9","2.8","0.3","1.4%"
"111","Dameon Pierce (KC)","10","26","2.6","10","0","0","1","0","0","0","0","0","4","2.6","0.7","2.8%"
"112","Dylan Laube (LV)","5","5","1.0","2","0","0","4","3","18","6.0","0","0","11","2.3","0.2","0.6%"
"113","Clyde Edwards-Helaire (KC)","7","13","1.9","7","0","0","2","2","9","4.5","0","0","2","2.2","1.1","0.6%"
"114","Tyler Goodson (IND)","5","12","2.4","4","0","0","3","2","8","4.0","0","0","6","2.0","0.3","0.7%"
"115","Jacardia Wright (SEA)","5","20","4.0","10","0","0","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"116","Roschon Johnson (CHI)","2","17","8.5","11","0","0","0","0","0","0","0","0","6","1.7","0.3","1.7%"
"117","British Brooks (HOU)","4","15","3.8","9","0","0","0","0","0","0","0","0","7","1.5","0.2","0.0%"
